lesson,term,reading,meaning,partOfSpeech
第1课 · 初次见面,私,わたし,我,名词
第1课 · 初次见面,学生,がくせい,学生,名词
第1课 · 初次见面,先生,せんせい,老师,名词
第1课 · 初次见面,友達,ともだち,朋友,名词
第1课 · 初次见面,日本,にほん,日本,名词
第1课 · 初次见面,中国,ちゅうごく,中国,名词
第1课 · 初次见面,名前,なまえ,名字,名词
第1课 · 初次见面,人,ひと,人,名词
第1课 · 初次见面,会社,かいしゃ,公司,名词
第1课 · 初次见面,学校,がっこう,学校,名词
第1课 · 初次见面,言葉,ことば,语言,名词
第1课 · 初次见面,大学,だいがく,大学,名词
第2课 · 日常身边,本,ほん,书,名词
第2课 · 日常身边,机,つくえ,桌子,名词
第2课 · 日常身边,椅子,いす,椅子,名词
第2课 · 日常身边,時計,とけい,钟表,名词
第2课 · 日常身边,鞄,かばん,包,名词
第2课 · 日常身边,鍵,かぎ,钥匙,名词
第2课 · 日常身边,傘,かさ,伞,名词
第2课 · 日常身边,靴,くつ,鞋,名词
第2课 · 日常身边,新聞,しんぶん,报纸,名词
第2课 · 日常身边,電話,でんわ,电话,名词
第2课 · 日常身边,窓,まど,窗户,名词
第2课 · 日常身边,写真,しゃしん,照片,名词
第3课 · 城市散步,駅,えき,车站,名词
第3课 · 城市散步,道,みち,道路,名词
第3课 · 城市散步,店,みせ,店铺,名词
第3课 · 城市散步,公園,こうえん,公园,名词
第3课 · 城市散步,花,はな,花,名词
第3课 · 城市散步,山,やま,山,名词
第3课 · 城市散步,川,かわ,河流,名词
第3课 · 城市散步,空,そら,天空,名词
第3课 · 城市散步,雨,あめ,雨,名词
第3课 · 城市散步,雪,ゆき,雪,名词
第3课 · 城市散步,海,うみ,海,名词
第3课 · 城市散步,風,かぜ,风,名词
第4课 · 生活时光,朝,あさ,早晨,名词
第4课 · 生活时光,昼,ひる,白天,名词
第4课 · 生活时光,夜,よる,夜晚,名词
第4课 · 生活时光,今日,きょう,今天,名词
第4课 · 生活时光,明日,あした,明天,名词
第4课 · 生活时光,昨日,きのう,昨天,名词
第4课 · 生活时光,時間,じかん,时间,名词
第4课 · 生活时光,水,みず,水,名词
第4课 · 生活时光,お茶,おちゃ,茶,名词
第4课 · 生活时光,ご飯,ごはん,米饭,名词
第4课 · 生活时光,休み,やすみ,休息,名词
第4课 · 生活时光,約束,やくそく,约定,名词
